livestockId,farmId,animalType,breed,age,quantity,healthStatus
LV-3402,FARM-2025,Breeder,Vanraja,9 months,52,At Risk
LV-3403,FARM-2042,Broiler,Ross 308,30 months,30,Healthy
LV-3404,FARM-2073,Pig,Tamworth,26 months,259,Healthy
LV-3405,FARM-2087,Pig,Tamworth,12 months,186,Healthy
LV-3406,FARM-2023,Pig,Berkshire,18 months,233,At Risk
LV-3407,FARM-2004,Breeder,Lohmann Brown,19 months,260,Healthy
LV-3408,FARM-2070,Pig,Chester White,4 months,49,Healthy
LV-3409,FARM-2017,Pig,Tamworth,13 months,334,At Risk
LV-3410,FARM-2067,Broiler,Ross 308,25 months,405,Healthy
LV-3411,FARM-2061,Breeder,Vanraja,23 months,472,Healthy
LV-3412,FARM-2041,Pig,Tamworth,18 months,97,Healthy
LV-3413,FARM-2076,Broiler,Ross 308,18 months,34,At Risk
LV-3414,FARM-2060,Breeder,Aseel,15 months,86,Healthy
LV-3415,FARM-2084,Pig,Hampshire,18 months,278,At Risk
LV-3416,FARM-2094,Broiler,Lohmann Brown,25 months,186,Sick
LV-3417,FARM-2022,Broiler,Lohmann Brown,21 months,417,Healthy
LV-3418,FARM-2045,Pig,Large White,23 months,490,Healthy
LV-3419,FARM-2018,Breeder,Lohmann Brown,32 months,282,Healthy
LV-3420,FARM-2062,Broiler,Cobb 500,4 months,124,Healthy
LV-3421,FARM-2002,Breeder,Vanraja,1 months,174,At Risk
LV-3422,FARM-2025,Broiler,Aseel,12 months,475,At Risk
LV-3423,FARM-2041,Pig,Large White,2 months,80,Healthy
LV-3424,FARM-2018,Broiler,Aseel,5 months,196,Healthy
LV-3425,FARM-2084,Pig,Tamworth,7 months,177,Healthy
LV-3426,FARM-2017,Pig,Landrace,28 months,410,Healthy
LV-3427,FARM-2062,Breeder,Aseel,12 months,367,Sick
LV-3428,FARM-2088,Pig,Pietrain,15 months,345,Healthy
LV-3429,FARM-2022,Layer,Giriraja,19 months,70,Healthy
LV-3430,FARM-2000,Pig,Tamworth,3 months,98,Healthy
LV-3431,FARM-2078,Broiler,Cobb 500,32 months,77,Healthy
LV-3432,FARM-2009,Broiler,Aseel,21 months,90,Healthy
LV-3433,FARM-2011,Pig,Pietrain,29 months,10,Healthy
LV-3434,FARM-2031,Pig,Duroc,23 months,136,At Risk
LV-3435,FARM-2092,Broiler,Ross 308,25 months,229,Healthy
LV-3436,FARM-2021,Layer,Vanraja,25 months,184,Healthy
LV-3437,FARM-2012,Layer,Lohmann Brown,11 months,236,Healthy
LV-3438,FARM-2004,Layer,Ross 308,21 months,138,Sick
LV-3439,FARM-2009,Layer,Hy-Line Brown,25 months,87,Healthy
LV-3440,FARM-2070,Pig,Duroc,22 months,309,Sick
LV-3441,FARM-2061,Breeder,Ross 308,28 months,487,Healthy
LV-3442,FARM-2077,Layer,Hy-Line Brown,4 months,56,Healthy
LV-3443,FARM-2024,Layer,Giriraja,19 months,157,Healthy
LV-3444,FARM-2006,Pig,Tamworth,36 months,435,Healthy
LV-3445,FARM-2006,Pig,Pietrain,1 months,223,Healthy
LV-3446,FARM-2084,Pig,Chester White,13 months,54,Healthy
LV-3447,FARM-2021,Breeder,Giriraja,6 months,247,At Risk
LV-3448,FARM-2039,Pig,Tamworth,31 months,255,At Risk
LV-3449,FARM-2033,Pig,Duroc,35 months,203,Healthy
LV-3450,FARM-2048,Pig,Pietrain,12 months,233,Healthy
LV-3451,FARM-2056,Layer,Giriraja,15 months,433,Healthy
LV-3452,FARM-2007,Broiler,Cobb 500,6 months,347,Healthy
LV-3453,FARM-2069,Pig,Tamworth,15 months,288,Healthy
LV-3454,FARM-2049,Breeder,Kadaknath,35 months,356,At Risk
LV-3455,FARM-2060,Breeder,Lohmann Brown,31 months,158,Healthy
LV-3456,FARM-2091,Broiler,Hy-Line Brown,8 months,491,At Risk
LV-3457,FARM-2022,Broiler,Lohmann Brown,13 months,69,Healthy
LV-3458,FARM-2010,Pig,Tamworth,13 months,426,Healthy
LV-3459,FARM-2076,Layer,Aseel,5 months,49,Healthy
LV-3460,FARM-2050,Breeder,Aseel,18 months,271,Healthy
LV-3461,FARM-2001,Breeder,Kadaknath,8 months,217,Healthy
LV-3462,FARM-2072,Breeder,Cobb 500,7 months,293,At Risk
LV-3463,FARM-2036,Pig,Pietrain,27 months,140,Healthy
LV-3464,FARM-2062,Breeder,Vanraja,3 months,93,Healthy
LV-3465,FARM-2018,Breeder,Kadaknath,3 months,207,At Risk
LV-3466,FARM-2042,Breeder,Lohmann Brown,4 months,386,Healthy
LV-3467,FARM-2034,Pig,Pietrain,2 months,177,At Risk
LV-3468,FARM-2038,Layer,Giriraja,32 months,444,Healthy
LV-3469,FARM-2012,Broiler,Hy-Line Brown,20 months,385,Healthy
LV-3470,FARM-2041,Pig,Berkshire,27 months,314,Healthy
LV-3471,FARM-2024,Layer,Lohmann Brown,27 months,384,Healthy
LV-3472,FARM-2066,Pig,Pietrain,4 months,268,At Risk
LV-3473,FARM-2008,Pig,Berkshire,33 months,211,Healthy
LV-3474,FARM-2067,Breeder,Ross 308,12 months,103,At Risk
LV-3475,FARM-2025,Broiler,Lohmann Brown,3 months,238,Healthy
LV-3476,FARM-2046,Breeder,Lohmann Brown,18 months,193,At Risk
LV-3477,FARM-2064,Pig,Tamworth,8 months,353,Healthy
LV-3478,FARM-2047,Layer,Vanraja,12 months,496,At Risk
LV-3479,FARM-2075,Pig,Pietrain,23 months,88,At Risk
LV-3480,FARM-2033,Pig,Duroc,19 months,19,Healthy
LV-3481,FARM-2020,Breeder,Lohmann Brown,15 months,336,Healthy
LV-3482,FARM-2026,Pig,Berkshire,27 months,267,Healthy
LV-3483,FARM-2099,Pig,Large White,31 months,471,Healthy
LV-3484,FARM-2022,Breeder,Ross 308,15 months,134,Healthy
LV-3485,FARM-2039,Pig,Berkshire,28 months,463,Healthy
LV-3486,FARM-2044,Layer,Giriraja,14 months,243,Healthy
LV-3487,FARM-2066,Pig,Tamworth,7 months,8,Healthy
LV-3488,FARM-2084,Pig,Pietrain,36 months,336,Healthy
LV-3489,FARM-2036,Pig,Berkshire,7 months,251,Healthy
LV-3490,FARM-2035,Breeder,Aseel,18 months,138,Healthy
LV-3491,FARM-2083,Pig,Berkshire,13 months,81,Healthy
LV-3492,FARM-2030,Pig,Large White,26 months,343,Healthy
LV-3493,FARM-2017,Pig,Large White,32 months,156,Healthy
LV-3494,FARM-2053,Layer,Kadaknath,3 months,303,Healthy
LV-3495,FARM-2073,Pig,Hampshire,22 months,376,Healthy
LV-3496,FARM-2087,Pig,Chester White,23 months,264,Healthy
LV-3497,FARM-2021,Breeder,Hy-Line Brown,19 months,54,Healthy
LV-3498,FARM-2094,Layer,Hy-Line Brown,22 months,340,Healthy
LV-3499,FARM-2045,Pig,Hampshire,20 months,220,At Risk
LV-3500,FARM-2042,Layer,Giriraja,19 months,242,At Risk
LV-3501,FARM-2060,Broiler,Cobb 500,31 months,460,Healthy
LV-3502,FARM-2015,Breeder,Kadaknath,34 months,157,Healthy
LV-3503,FARM-2019,Pig,Landrace,13 months,180,Healthy
LV-3504,FARM-2072,Layer,Hy-Line Brown,21 months,446,Healthy
LV-3505,FARM-2099,Pig,Duroc,32 months,175,Healthy
LV-3506,FARM-2022,Layer,Ross 308,1 months,236,Healthy
LV-3507,FARM-2097,Broiler,Hy-Line Brown,32 months,407,At Risk
LV-3508,FARM-2011,Pig,Landrace,28 months,329,Healthy
LV-3509,FARM-2054,Pig,Chester White,25 months,7,Healthy
LV-3510,FARM-2025,Breeder,Aseel,1 months,461,Healthy
LV-3511,FARM-2067,Broiler,Ross 308,1 months,325,Healthy
LV-3512,FARM-2028,Breeder,Aseel,20 months,71,Healthy
LV-3513,FARM-2064,Pig,Berkshire,11 months,38,At Risk
LV-3514,FARM-2038,Layer,Vanraja,34 months,310,Healthy
LV-3515,FARM-2055,Pig,Landrace,22 months,466,Healthy
LV-3516,FARM-2096,Pig,Hampshire,11 months,490,At Risk
LV-3517,FARM-2051,Broiler,Lohmann Brown,15 months,377,Sick
LV-3518,FARM-2027,Breeder,Ross 308,33 months,91,Healthy
LV-3519,FARM-2091,Breeder,Ross 308,25 months,453,Healthy
LV-3520,FARM-2098,Breeder,Ross 308,4 months,343,Healthy
LV-3521,FARM-2002,Broiler,Cobb 500,27 months,232,Healthy
LV-3522,FARM-2070,Pig,Berkshire,31 months,364,Healthy
LV-3523,FARM-2088,Pig,Large White,20 months,220,Healthy
LV-3524,FARM-2084,Pig,Berkshire,9 months,219,At Risk
LV-3525,FARM-2013,Breeder,Cobb 500,19 months,63,At Risk
LV-3526,FARM-2063,Broiler,Lohmann Brown,17 months,430,Healthy
LV-3527,FARM-2025,Layer,Kadaknath,19 months,87,Healthy
LV-3528,FARM-2063,Broiler,Vanraja,22 months,125,Healthy
LV-3529,FARM-2085,Pig,Duroc,8 months,432,Healthy
LV-3530,FARM-2063,Broiler,Cobb 500,33 months,43,Healthy
LV-3531,FARM-2012,Layer,Lohmann Brown,30 months,156,Healthy
LV-3532,FARM-2006,Pig,Duroc,12 months,452,Healthy
LV-3533,FARM-2037,Pig,Pietrain,21 months,223,Healthy
LV-3534,FARM-2012,Broiler,Ross 308,9 months,344,Healthy
LV-3535,FARM-2042,Layer,Vanraja,18 months,454,Healthy
LV-3536,FARM-2047,Layer,Hy-Line Brown,8 months,210,Healthy
LV-3537,FARM-2058,Pig,Berkshire,25 months,358,At Risk
LV-3538,FARM-2053,Breeder,Hy-Line Brown,8 months,72,Healthy
LV-3539,FARM-2007,Broiler,Cobb 500,27 months,471,Healthy
LV-3540,FARM-2072,Breeder,Vanraja,12 months,317,Healthy
LV-3541,FARM-2045,Pig,Large White,9 months,252,At Risk
LV-3542,FARM-2014,Layer,Vanraja,3 months,37,Healthy
LV-3543,FARM-2040,Pig,Large White,34 months,397,Healthy
LV-3544,FARM-2092,Breeder,Lohmann Brown,22 months,270,Healthy
LV-3545,FARM-2089,Pig,Duroc,28 months,343,Healthy
LV-3546,FARM-2061,Layer,Kadaknath,10 months,434,At Risk
LV-3547,FARM-2078,Broiler,Ross 308,11 months,263,At Risk
LV-3548,FARM-2063,Broiler,Cobb 500,32 months,169,Healthy
LV-3549,FARM-2035,Broiler,Lohmann Brown,36 months,334,Healthy
LV-3550,FARM-2030,Pig,Duroc,30 months,232,At Risk
LV-3551,FARM-2057,Pig,Duroc,32 months,233,Healthy
LV-3552,FARM-2063,Breeder,Ross 308,7 months,211,Healthy
LV-3553,FARM-2071,Breeder,Ross 308,6 months,410,Healthy
LV-3554,FARM-2079,Breeder,Giriraja,33 months,292,Healthy
LV-3555,FARM-2085,Pig,Chester White,22 months,191,At Risk
LV-3556,FARM-2028,Layer,Aseel,36 months,397,Healthy
LV-3557,FARM-2060,Breeder,Aseel,29 months,63,Healthy
LV-3558,FARM-2084,Pig,Hampshire,1 months,179,Healthy
LV-3559,FARM-2081,Pig,Berkshire,36 months,272,Healthy
LV-3560,FARM-2013,Broiler,Hy-Line Brown,32 months,76,At Risk
LV-3561,FARM-2095,Pig,Tamworth,7 months,135,Healthy
LV-3562,FARM-2024,Broiler,Kadaknath,14 months,239,At Risk
LV-3563,FARM-2024,Breeder,Aseel,7 months,392,Healthy
LV-3564,FARM-2081,Pig,Duroc,29 months,239,Healthy
LV-3565,FARM-2064,Pig,Landrace,32 months,7,Healthy
LV-3566,FARM-2006,Pig,Tamworth,31 months,478,Healthy
LV-3567,FARM-2022,Breeder,Hy-Line Brown,9 months,58,Healthy
LV-3568,FARM-2076,Breeder,Aseel,33 months,456,Healthy
LV-3569,FARM-2077,Breeder,Lohmann Brown,18 months,208,Sick
LV-3570,FARM-2037,Pig,Chester White,9 months,75,Healthy
LV-3571,FARM-2089,Pig,Berkshire,36 months,445,Healthy
LV-3572,FARM-2094,Breeder,Lohmann Brown,13 months,112,Healthy
LV-3573,FARM-2037,Pig,Pietrain,9 months,368,Healthy
LV-3574,FARM-2022,Breeder,Aseel,8 months,394,Healthy
LV-3575,FARM-2061,Breeder,Kadaknath,35 months,151,At Risk
LV-3576,FARM-2054,Pig,Large White,34 months,59,Healthy
LV-3577,FARM-2018,Broiler,Ross 308,13 months,141,At Risk
LV-3578,FARM-2020,Layer,Giriraja,10 months,434,Healthy
LV-3579,FARM-2037,Pig,Hampshire,35 months,21,Healthy
LV-3580,FARM-2057,Pig,Duroc,36 months,447,Healthy
LV-3581,FARM-2082,Breeder,Kadaknath,16 months,266,At Risk
LV-3582,FARM-2089,Pig,Berkshire,4 months,479,Healthy
LV-3583,FARM-2053,Breeder,Aseel,36 months,32,Healthy
LV-3584,FARM-2032,Pig,Hampshire,29 months,429,Healthy
LV-3585,FARM-2081,Pig,Pietrain,35 months,383,Healthy
LV-3586,FARM-2099,Pig,Hampshire,19 months,234,Healthy
LV-3587,FARM-2087,Pig,Duroc,12 months,497,Healthy
LV-3588,FARM-2065,Broiler,Kadaknath,3 months,224,Healthy
LV-3589,FARM-2033,Pig,Landrace,11 months,304,At Risk
LV-3590,FARM-2000,Pig,Pietrain,30 months,368,Sick
LV-3591,FARM-2005,Pig,Landrace,21 months,310,Healthy
LV-3592,FARM-2080,Breeder,Giriraja,32 months,409,Healthy
LV-3593,FARM-2045,Pig,Duroc,21 months,274,Healthy
LV-3594,FARM-2023,Pig,Duroc,33 months,86,Healthy
LV-3595,FARM-2068,Layer,Cobb 500,23 months,118,At Risk
LV-3596,FARM-2084,Pig,Pietrain,22 months,189,Healthy
LV-3597,FARM-2096,Pig,Chester White,36 months,426,At Risk
LV-3598,FARM-2083,Pig,Large White,8 months,347,Healthy
LV-3599,FARM-2030,Pig,Hampshire,3 months,354,At Risk
LV-3600,FARM-2048,Pig,Duroc,25 months,136,Healthy
LV-3601,FARM-2036,Pig,Large White,34 months,425,At Risk
LV-3602,FARM-2065,Breeder,Vanraja,32 months,27,Healthy
LV-3603,FARM-2083,Pig,Hampshire,21 months,268,Healthy
LV-3604,FARM-2012,Broiler,Ross 308,5 months,112,Healthy
LV-3605,FARM-2099,Pig,Hampshire,28 months,432,Healthy
LV-3606,FARM-2068,Breeder,Kadaknath,5 months,387,Healthy
LV-3607,FARM-2003,Layer,Aseel,3 months,49,Healthy
LV-3608,FARM-2022,Layer,Cobb 500,15 months,471,Healthy
LV-3609,FARM-2049,Layer,Kadaknath,28 months,166,Healthy
LV-3610,FARM-2086,Broiler,Ross 308,5 months,392,Healthy
LV-3611,FARM-2005,Pig,Duroc,23 months,480,Healthy
LV-3612,FARM-2037,Pig,Berkshire,6 months,149,At Risk
LV-3613,FARM-2056,Layer,Kadaknath,2 months,247,Healthy
LV-3614,FARM-2028,Broiler,Kadaknath,35 months,156,Sick
LV-3615,FARM-2018,Layer,Aseel,1 months,288,At Risk
LV-3616,FARM-2018,Broiler,Ross 308,1 months,298,Healthy
LV-3617,FARM-2068,Breeder,Cobb 500,20 months,112,Healthy
LV-3618,FARM-2092,Layer,Lohmann Brown,27 months,468,Healthy
LV-3619,FARM-2065,Broiler,Hy-Line Brown,12 months,118,Healthy
LV-3620,FARM-2032,Pig,Hampshire,8 months,97,Healthy
LV-3621,FARM-2072,Broiler,Vanraja,36 months,42,Healthy
LV-3622,FARM-2008,Pig,Berkshire,7 months,106,Healthy
LV-3623,FARM-2062,Layer,Aseel,9 months,348,Healthy
LV-3624,FARM-2012,Layer,Cobb 500,13 months,167,Healthy
LV-3625,FARM-2042,Breeder,Giriraja,10 months,294,Healthy
LV-3626,FARM-2040,Pig,Tamworth,11 months,7,Healthy
LV-3627,FARM-2028,Breeder,Kadaknath,18 months,435,Healthy
LV-3628,FARM-2086,Breeder,Aseel,31 months,241,Healthy
LV-3629,FARM-2099,Pig,Berkshire,32 months,287,Healthy
LV-3630,FARM-2082,Breeder,Cobb 500,18 months,444,At Risk
LV-3631,FARM-2068,Broiler,Giriraja,5 months,377,Healthy
LV-3632,FARM-2002,Breeder,Ross 308,26 months,398,Healthy
LV-3633,FARM-2004,Breeder,Giriraja,35 months,462,Sick
LV-3634,FARM-2060,Breeder,Hy-Line Brown,24 months,205,Healthy
LV-3635,FARM-2098,Breeder,Giriraja,9 months,242,Healthy
LV-3636,FARM-2011,Pig,Tamworth,24 months,262,Healthy
LV-3637,FARM-2030,Pig,Landrace,33 months,76,Healthy
LV-3638,FARM-2022,Breeder,Hy-Line Brown,31 months,485,Healthy
LV-3639,FARM-2028,Layer,Lohmann Brown,5 months,140,Healthy
LV-3640,FARM-2005,Pig,Hampshire,34 months,469,At Risk
LV-3641,FARM-2049,Layer,Vanraja,3 months,25,Sick
LV-3642,FARM-2041,Pig,Duroc,34 months,329,At Risk
LV-3643,FARM-2094,Layer,Hy-Line Brown,25 months,339,Healthy
LV-3644,FARM-2075,Pig,Duroc,34 months,133,Healthy
LV-3645,FARM-2028,Breeder,Kadaknath,23 months,423,At Risk
LV-3646,FARM-2062,Layer,Ross 308,33 months,456,Healthy
LV-3647,FARM-2021,Broiler,Cobb 500,33 months,334,Healthy
LV-3648,FARM-2019,Pig,Landrace,11 months,190,Healthy
LV-3649,FARM-2015,Breeder,Lohmann Brown,27 months,420,Healthy
LV-3650,FARM-2014,Layer,Vanraja,31 months,112,Healthy
LV-3651,FARM-2082,Layer,Ross 308,16 months,27,Healthy
LV-3652,FARM-2075,Pig,Landrace,9 months,327,Healthy
LV-3653,FARM-2073,Pig,Landrace,4 months,90,Healthy
LV-3654,FARM-2023,Pig,Tamworth,2 months,454,Healthy
LV-3655,FARM-2084,Pig,Berkshire,6 months,115,Healthy
LV-3656,FARM-2060,Layer,Hy-Line Brown,15 months,430,Healthy
LV-3657,FARM-2018,Breeder,Hy-Line Brown,33 months,140,Healthy
LV-3658,FARM-2087,Pig,Pietrain,30 months,310,Healthy
LV-3659,FARM-2029,Layer,Kadaknath,9 months,60,Healthy
LV-3660,FARM-2066,Pig,Tamworth,10 months,315,Healthy
LV-3661,FARM-2060,Breeder,Ross 308,35 months,262,At Risk
LV-3662,FARM-2011,Pig,Chester White,9 months,466,Healthy
LV-3663,FARM-2000,Pig,Tamworth,34 months,220,Healthy
LV-3664,FARM-2005,Pig,Tamworth,15 months,485,At Risk
LV-3665,FARM-2098,Layer,Aseel,7 months,222,Healthy
LV-3666,FARM-2061,Broiler,Cobb 500,19 months,311,At Risk
LV-3667,FARM-2052,Layer,Lohmann Brown,1 months,368,Healthy
LV-3668,FARM-2000,Pig,Duroc,34 months,8,Healthy
LV-3669,FARM-2026,Pig,Pietrain,27 months,190,Healthy
LV-3670,FARM-2054,Pig,Berkshire,17 months,442,Healthy
LV-3671,FARM-2072,Layer,Giriraja,26 months,391,Healthy
LV-3672,FARM-2070,Pig,Chester White,12 months,194,Healthy
LV-3673,FARM-2061,Layer,Giriraja,23 months,401,Healthy
LV-3674,FARM-2094,Broiler,Cobb 500,15 months,233,At Risk
LV-3675,FARM-2020,Broiler,Lohmann Brown,33 months,210,At Risk
LV-3676,FARM-2070,Pig,Large White,11 months,204,Sick
LV-3677,FARM-2000,Pig,Duroc,10 months,246,At Risk
LV-3678,FARM-2055,Pig,Duroc,5 months,139,Healthy
LV-3679,FARM-2010,Pig,Large White,25 months,481,Sick
LV-3680,FARM-2078,Breeder,Giriraja,4 months,489,At Risk
LV-3681,FARM-2022,Breeder,Vanraja,29 months,10,Healthy
LV-3682,FARM-2084,Pig,Berkshire,13 months,22,At Risk
LV-3683,FARM-2065,Breeder,Lohmann Brown,11 months,350,Healthy
LV-3684,FARM-2030,Pig,Large White,11 months,49,Sick
LV-3685,FARM-2099,Pig,Tamworth,23 months,347,Healthy
LV-3686,FARM-2075,Pig,Hampshire,34 months,12,Healthy
LV-3687,FARM-2008,Pig,Duroc,36 months,150,Healthy
LV-3688,FARM-2071,Breeder,Aseel,23 months,498,At Risk
LV-3689,FARM-2028,Breeder,Lohmann Brown,30 months,481,Healthy
LV-3690,FARM-2000,Pig,Berkshire,12 months,213,Healthy
LV-3691,FARM-2071,Broiler,Giriraja,22 months,489,Healthy
LV-3692,FARM-2065,Layer,Giriraja,29 months,499,Healthy
LV-3693,FARM-2061,Broiler,Aseel,30 months,353,Healthy
LV-3694,FARM-2075,Pig,Large White,31 months,64,Healthy
LV-3695,FARM-2048,Pig,Hampshire,15 months,414,Healthy
LV-3696,FARM-2045,Pig,Large White,17 months,132,Healthy
LV-3697,FARM-2051,Breeder,Aseel,5 months,288,Sick
LV-3698,FARM-2060,Layer,Aseel,14 months,462,Healthy
LV-3699,FARM-2023,Pig,Hampshire,32 months,382,Healthy
LV-3700,FARM-2094,Broiler,Giriraja,14 months,122,Healthy
LV-3701,FARM-2031,Pig,Pietrain,10 months,403,Healthy
LV-3702,FARM-2010,Pig,Chester White,1 months,396,At Risk
LV-3703,FARM-2005,Pig,Chester White,24 months,322,Healthy
LV-3704,FARM-2073,Pig,Berkshire,32 months,98,Sick
LV-3705,FARM-2065,Layer,Kadaknath,15 months,389,Healthy
LV-3706,FARM-2006,Pig,Tamworth,31 months,486,Healthy
LV-3707,FARM-2064,Pig,Pietrain,26 months,445,Healthy
LV-3708,FARM-2022,Layer,Cobb 500,34 months,240,Healthy
LV-3709,FARM-2001,Broiler,Lohmann Brown,25 months,302,Healthy
LV-3710,FARM-2046,Breeder,Giriraja,12 months,285,Healthy
LV-3711,FARM-2034,Pig,Chester White,22 months,192,Healthy
LV-3712,FARM-2054,Pig,Hampshire,27 months,363,At Risk
LV-3713,FARM-2046,Layer,Giriraja,29 months,97,Healthy
LV-3714,FARM-2073,Pig,Hampshire,7 months,374,Healthy
LV-3715,FARM-2030,Pig,Tamworth,25 months,105,Healthy
LV-3716,FARM-2094,Broiler,Vanraja,1 months,95,Healthy
LV-3717,FARM-2017,Pig,Pietrain,32 months,158,Healthy
LV-3718,FARM-2072,Broiler,Kadaknath,7 months,358,Healthy
LV-3719,FARM-2027,Layer,Vanraja,7 months,235,Healthy
LV-3720,FARM-2033,Pig,Pietrain,24 months,291,Healthy
LV-3721,FARM-2032,Pig,Pietrain,2 months,215,Healthy
LV-3722,FARM-2086,Breeder,Lohmann Brown,35 months,94,Sick
LV-3723,FARM-2036,Pig,Pietrain,21 months,349,Healthy
LV-3724,FARM-2099,Pig,Chester White,6 months,200,Healthy
LV-3725,FARM-2059,Breeder,Hy-Line Brown,11 months,332,At Risk
LV-3726,FARM-2043,Layer,Kadaknath,5 months,45,Healthy
LV-3727,FARM-2029,Layer,Aseel,19 months,368,Healthy
LV-3728,FARM-2082,Layer,Giriraja,29 months,404,At Risk
LV-3729,FARM-2046,Breeder,Vanraja,27 months,90,Healthy
LV-3730,FARM-2002,Broiler,Lohmann Brown,17 months,486,Healthy
LV-3731,FARM-2095,Pig,Duroc,14 months,90,Healthy
LV-3732,FARM-2012,Broiler,Vanraja,36 months,32,Healthy
LV-3733,FARM-2050,Breeder,Cobb 500,7 months,139,Healthy
LV-3734,FARM-2010,Pig,Tamworth,20 months,122,Healthy
LV-3735,FARM-2036,Pig,Chester White,9 months,72,Healthy
LV-3736,FARM-2021,Broiler,Ross 308,23 months,445,At Risk
LV-3737,FARM-2060,Layer,Giriraja,36 months,232,Healthy
LV-3738,FARM-2089,Pig,Landrace,30 months,328,Healthy
LV-3739,FARM-2072,Layer,Giriraja,23 months,251,Healthy
LV-3740,FARM-2011,Pig,Chester White,20 months,192,Healthy
LV-3741,FARM-2019,Pig,Berkshire,1 months,5,Healthy
LV-3742,FARM-2097,Broiler,Aseel,19 months,245,Healthy
LV-3743,FARM-2088,Pig,Chester White,31 months,158,Healthy
LV-3744,FARM-2055,Pig,Berkshire,15 months,412,Healthy
LV-3745,FARM-2047,Broiler,Kadaknath,36 months,228,Healthy
LV-3746,FARM-2020,Breeder,Kadaknath,25 months,117,Healthy
LV-3747,FARM-2054,Pig,Hampshire,34 months,396,At Risk
LV-3748,FARM-2078,Breeder,Giriraja,19 months,337,Healthy
LV-3749,FARM-2034,Pig,Tamworth,13 months,441,Healthy
LV-3750,FARM-2017,Pig,Berkshire,8 months,331,Healthy
LV-3751,FARM-2057,Pig,Berkshire,32 months,101,Healthy
LV-3752,FARM-2019,Pig,Large White,35 months,16,Healthy
LV-3753,FARM-2013,Layer,Giriraja,9 months,371,Healthy
LV-3754,FARM-2001,Broiler,Cobb 500,10 months,12,Healthy
LV-3755,FARM-2043,Layer,Giriraja,32 months,195,Healthy
LV-3756,FARM-2004,Layer,Cobb 500,10 months,33,Healthy
LV-3757,FARM-2050,Broiler,Vanraja,12 months,103,At Risk
LV-3758,FARM-2032,Pig,Tamworth,1 months,67,Sick
LV-3759,FARM-2091,Broiler,Kadaknath,29 months,131,Healthy
LV-3760,FARM-2004,Broiler,Vanraja,7 months,271,Healthy
LV-3761,FARM-2026,Pig,Chester White,25 months,353,Sick
LV-3762,FARM-2041,Pig,Landrace,3 months,386,Sick
LV-3763,FARM-2066,Pig,Duroc,17 months,251,Healthy
LV-3764,FARM-2025,Layer,Ross 308,14 months,62,Healthy
LV-3765,FARM-2055,Pig,Pietrain,1 months,90,At Risk
LV-3766,FARM-2074,Pig,Duroc,26 months,409,Healthy
LV-3767,FARM-2005,Pig,Chester White,10 months,195,At Risk
LV-3768,FARM-2031,Pig,Landrace,32 months,51,Healthy
LV-3769,FARM-2043,Breeder,Ross 308,4 months,187,Healthy
LV-3770,FARM-2089,Pig,Duroc,9 months,254,Healthy
LV-3771,FARM-2071,Breeder,Aseel,29 months,380,Healthy
LV-3772,FARM-2088,Pig,Tamworth,23 months,375,Healthy
LV-3773,FARM-2005,Pig,Chester White,29 months,291,Healthy
LV-3774,FARM-2089,Pig,Chester White,13 months,295,Healthy
LV-3775,FARM-2044,Layer,Vanraja,18 months,449,At Risk
LV-3776,FARM-2070,Pig,Landrace,5 months,276,Healthy
LV-3777,FARM-2037,Pig,Berkshire,35 months,192,Healthy
LV-3778,FARM-2099,Pig,Tamworth,12 months,457,Healthy
LV-3779,FARM-2046,Breeder,Lohmann Brown,21 months,374,Healthy
LV-3780,FARM-2068,Layer,Lohmann Brown,34 months,354,Healthy
LV-3781,FARM-2070,Pig,Landrace,19 months,170,Healthy
LV-3782,FARM-2041,Pig,Duroc,7 months,272,Healthy
LV-3783,FARM-2005,Pig,Landrace,12 months,452,Healthy
LV-3784,FARM-2013,Layer,Lohmann Brown,7 months,21,Healthy
LV-3785,FARM-2049,Breeder,Vanraja,34 months,324,Healthy
LV-3786,FARM-2032,Pig,Large White,24 months,118,Healthy
LV-3787,FARM-2009,Broiler,Lohmann Brown,32 months,480,At Risk
LV-3788,FARM-2010,Pig,Chester White,4 months,189,Healthy
LV-3789,FARM-2053,Layer,Ross 308,18 months,275,Healthy
LV-3790,FARM-2009,Layer,Cobb 500,14 months,496,Healthy
LV-3791,FARM-2012,Breeder,Lohmann Brown,35 months,202,Healthy
LV-3792,FARM-2067,Breeder,Lohmann Brown,12 months,290,Healthy
LV-3793,FARM-2053,Breeder,Cobb 500,23 months,350,Healthy
LV-3794,FARM-2085,Pig,Tamworth,7 months,90,At Risk
LV-3795,FARM-2070,Pig,Tamworth,33 months,177,Healthy
LV-3796,FARM-2068,Breeder,Vanraja,23 months,467,Healthy
LV-3797,FARM-2041,Pig,Pietrain,27 months,396,Healthy
LV-3798,FARM-2092,Layer,Lohmann Brown,35 months,114,Healthy
LV-3799,FARM-2070,Pig,Berkshire,24 months,497,Healthy
LV-3800,FARM-2050,Broiler,Ross 308,19 months,310,Healthy
LV-3801,FARM-2017,Pig,Berkshire,1 months,158,Sick
LV-3802,FARM-2027,Layer,Ross 308,18 months,475,Healthy
LV-3803,FARM-2071,Breeder,Hy-Line Brown,7 months,24,Healthy
LV-3804,FARM-2019,Pig,Landrace,17 months,192,At Risk
LV-3805,FARM-2031,Pig,Hampshire,17 months,420,Healthy
