vaccinationId,farmId,vaccineName,vaccinationDate,nextDueDate,status
VAC-4315,FARM-2014,Mycoplasma Vaccine,2026-08-10,2026-11-08,Completed
VAC-4316,FARM-2011,PRRS Vaccine,2026-08-11,2027-02-07,Completed
VAC-4317,FARM-2021,Fowl Cholera Vaccine,2026-05-11,2026-11-07,Scheduled
VAC-4318,FARM-2084,IB Vaccine,2026-02-24,2027-02-24,Pending
VAC-4319,FARM-2000,IB Vaccine,2026-07-16,2027-07-16,Completed
VAC-4320,FARM-2009,IBD Vaccine,2026-07-16,2027-01-12,Scheduled
VAC-4321,FARM-2042,CSF Vaccine,2026-03-14,2027-03-14,Pending
VAC-4322,FARM-2015,Avian Influenza Vaccine,2026-04-06,2027-04-06,Pending
VAC-4323,FARM-2013,Marek's Disease Vaccine,2026-02-09,2026-05-10,Completed
VAC-4324,FARM-2090,Fowl Cholera Vaccine,2026-05-03,2026-10-30,Scheduled
VAC-4325,FARM-2034,IB Vaccine,2026-06-18,2026-09-16,Completed
VAC-4326,FARM-2005,Fowl Cholera Vaccine,2026-06-09,2026-12-06,Completed
VAC-4327,FARM-2093,Mycoplasma Vaccine,2026-08-21,2027-08-21,Completed
VAC-4328,FARM-2006,Mycoplasma Vaccine,2026-03-14,2026-09-10,Scheduled
VAC-4329,FARM-2095,Newcastle Disease Vaccine,2026-05-21,2027-05-21,Completed
VAC-4330,FARM-2051,PCV2 Vaccine,2026-02-15,2026-05-16,Pending
VAC-4331,FARM-2051,CSF Vaccine,2026-01-06,2026-04-06,Completed
VAC-4332,FARM-2099,FMD Vaccine,2026-03-14,2027-03-14,Scheduled
VAC-4333,FARM-2083,IBD Vaccine,2026-01-31,2026-07-30,Completed
VAC-4334,FARM-2055,Mycoplasma Vaccine,2026-07-26,2027-01-22,Pending
VAC-4335,FARM-2077,IBD Vaccine,2026-04-02,2027-04-02,Completed
VAC-4336,FARM-2047,Erysipelas Vaccine,2026-02-21,2026-08-20,Completed
VAC-4337,FARM-2049,Avian Influenza Vaccine,2026-03-10,2027-03-10,Scheduled
VAC-4338,FARM-2011,FMD Vaccine,2026-07-27,2027-01-23,Scheduled
VAC-4339,FARM-2055,Mycoplasma Vaccine,2026-04-20,2026-07-19,Completed
VAC-4340,FARM-2043,FMD Vaccine,2026-06-23,2026-09-21,Scheduled
VAC-4341,FARM-2091,PRRS Vaccine,2026-08-27,2027-02-23,Completed
VAC-4342,FARM-2082,IB Vaccine,2026-01-22,2026-07-21,Completed
VAC-4343,FARM-2010,Avian Influenza Vaccine,2026-03-18,2026-06-16,Pending
VAC-4344,FARM-2087,PCV2 Vaccine,2026-08-04,2026-11-02,Completed
VAC-4345,FARM-2037,Erysipelas Vaccine,2026-01-13,2027-01-13,Completed
VAC-4346,FARM-2005,IB Vaccine,2026-01-28,2027-01-28,Completed
VAC-4347,FARM-2012,FMD Vaccine,2026-06-19,2027-06-19,Scheduled
VAC-4348,FARM-2032,PCV2 Vaccine,2026-03-07,2027-03-07,Completed
VAC-4349,FARM-2064,CSF Vaccine,2026-01-30,2027-01-30,Scheduled
VAC-4350,FARM-2022,PRRS Vaccine,2026-08-04,2027-01-31,Completed
VAC-4351,FARM-2053,Fowl Cholera Vaccine,2026-03-18,2026-09-14,Scheduled
VAC-4352,FARM-2058,Fowl Cholera Vaccine,2026-04-26,2027-04-26,Scheduled
VAC-4353,FARM-2043,PRRS Vaccine,2026-02-24,2026-05-25,Completed
VAC-4354,FARM-2077,Marek's Disease Vaccine,2026-08-12,2027-08-12,Completed
VAC-4355,FARM-2068,Newcastle Disease Vaccine,2026-01-02,2026-07-01,Completed
VAC-4356,FARM-2021,Fowl Cholera Vaccine,2026-05-03,2026-10-30,Scheduled
VAC-4357,FARM-2084,Fowl Cholera Vaccine,2026-06-04,2027-06-04,Completed
VAC-4358,FARM-2079,IB Vaccine,2026-04-03,2027-04-03,Scheduled
VAC-4359,FARM-2088,Mycoplasma Vaccine,2026-04-12,2026-10-09,Completed
VAC-4360,FARM-2017,CSF Vaccine,2026-02-18,2026-05-19,Scheduled
VAC-4361,FARM-2089,PRRS Vaccine,2026-08-08,2026-11-06,Completed
VAC-4362,FARM-2083,IBD Vaccine,2026-06-16,2026-09-14,Completed
VAC-4363,FARM-2080,IB Vaccine,2026-02-18,2026-05-19,Completed
VAC-4364,FARM-2059,IBD Vaccine,2026-05-02,2026-10-29,Completed
VAC-4365,FARM-2021,IBD Vaccine,2026-07-09,2027-07-09,Completed
VAC-4366,FARM-2062,Avian Influenza Vaccine,2026-01-06,2026-07-05,Scheduled
VAC-4367,FARM-2025,Marek's Disease Vaccine,2026-05-26,2026-11-22,Completed
VAC-4368,FARM-2001,Newcastle Disease Vaccine,2026-06-11,2027-06-11,Completed
VAC-4369,FARM-2053,Avian Influenza Vaccine,2026-07-08,2027-07-08,Scheduled
VAC-4370,FARM-2070,PCV2 Vaccine,2026-01-10,2026-07-09,Completed
VAC-4371,FARM-2065,Erysipelas Vaccine,2026-07-05,2027-07-05,Pending
VAC-4372,FARM-2062,IBD Vaccine,2026-07-02,2026-09-30,Completed
VAC-4373,FARM-2054,Erysipelas Vaccine,2026-03-22,2027-03-22,Completed
VAC-4374,FARM-2082,Avian Influenza Vaccine,2026-08-16,2027-02-12,Completed
VAC-4375,FARM-2079,Fowl Cholera Vaccine,2026-03-30,2026-09-26,Scheduled
VAC-4376,FARM-2002,IBD Vaccine,2026-03-15,2027-03-15,Completed
VAC-4377,FARM-2044,Avian Influenza Vaccine,2026-03-01,2027-03-01,Completed
VAC-4378,FARM-2087,PCV2 Vaccine,2026-08-24,2027-08-24,Pending
VAC-4379,FARM-2091,Mycoplasma Vaccine,2026-04-30,2026-07-29,Pending
VAC-4380,FARM-2092,Mycoplasma Vaccine,2026-04-10,2026-10-07,Scheduled
VAC-4381,FARM-2086,Fowl Cholera Vaccine,2026-07-08,2027-01-04,Scheduled
VAC-4382,FARM-2020,Erysipelas Vaccine,2026-02-23,2026-08-22,Scheduled
VAC-4383,FARM-2011,Mycoplasma Vaccine,2026-05-04,2026-08-02,Completed
VAC-4384,FARM-2020,Erysipelas Vaccine,2026-05-06,2026-08-04,Scheduled
VAC-4385,FARM-2063,PCV2 Vaccine,2026-03-02,2026-05-31,Scheduled
VAC-4386,FARM-2002,Marek's Disease Vaccine,2026-08-14,2027-02-10,Completed
VAC-4387,FARM-2020,PRRS Vaccine,2026-07-31,2027-07-31,Completed
VAC-4388,FARM-2008,Marek's Disease Vaccine,2026-04-21,2026-07-20,Scheduled
VAC-4389,FARM-2015,IB Vaccine,2026-02-27,2026-08-26,Completed
VAC-4390,FARM-2043,PCV2 Vaccine,2026-07-16,2026-10-14,Scheduled
VAC-4391,FARM-2071,Marek's Disease Vaccine,2026-08-18,2026-11-16,Pending
VAC-4392,FARM-2065,Erysipelas Vaccine,2026-06-21,2026-09-19,Scheduled
VAC-4393,FARM-2056,Avian Influenza Vaccine,2026-08-04,2026-11-02,Pending
VAC-4394,FARM-2078,IB Vaccine,2026-07-20,2026-10-18,Scheduled
VAC-4395,FARM-2005,IB Vaccine,2026-01-27,2026-04-27,Scheduled
VAC-4396,FARM-2026,PCV2 Vaccine,2026-02-10,2027-02-10,Completed
VAC-4397,FARM-2056,IB Vaccine,2026-05-08,2027-05-08,Pending
VAC-4398,FARM-2019,Fowl Cholera Vaccine,2026-04-04,2026-10-01,Scheduled
VAC-4399,FARM-2015,IBD Vaccine,2026-04-23,2026-10-20,Scheduled
VAC-4400,FARM-2000,IBD Vaccine,2026-08-02,2027-01-29,Completed
VAC-4401,FARM-2064,PRRS Vaccine,2026-01-22,2026-07-21,Completed
VAC-4402,FARM-2096,Avian Influenza Vaccine,2026-04-03,2027-04-03,Scheduled
VAC-4403,FARM-2019,IB Vaccine,2026-04-18,2026-07-17,Completed
VAC-4404,FARM-2054,FMD Vaccine,2026-08-24,2027-02-20,Pending
VAC-4405,FARM-2066,Mycoplasma Vaccine,2026-04-03,2026-07-02,Completed
VAC-4406,FARM-2098,Newcastle Disease Vaccine,2026-07-03,2027-07-03,Pending
VAC-4407,FARM-2010,Marek's Disease Vaccine,2026-03-22,2026-09-18,Pending
VAC-4408,FARM-2021,Avian Influenza Vaccine,2026-01-16,2026-07-15,Scheduled
VAC-4409,FARM-2084,Fowl Cholera Vaccine,2026-02-08,2027-02-08,Completed
VAC-4410,FARM-2080,Fowl Cholera Vaccine,2026-07-24,2027-07-24,Pending
VAC-4411,FARM-2037,FMD Vaccine,2026-04-13,2027-04-13,Scheduled
VAC-4412,FARM-2038,Fowl Cholera Vaccine,2026-07-10,2027-01-06,Pending
VAC-4413,FARM-2001,Marek's Disease Vaccine,2026-08-19,2027-08-19,Scheduled
VAC-4414,FARM-2018,Fowl Cholera Vaccine,2026-04-14,2026-10-11,Scheduled
VAC-4415,FARM-2069,IB Vaccine,2026-07-21,2027-07-21,Scheduled
VAC-4416,FARM-2089,PCV2 Vaccine,2026-08-16,2027-08-16,Completed
VAC-4417,FARM-2025,Marek's Disease Vaccine,2026-01-22,2026-04-22,Completed
VAC-4418,FARM-2049,Fowl Cholera Vaccine,2026-07-04,2027-07-04,Pending
VAC-4419,FARM-2066,Erysipelas Vaccine,2026-03-14,2026-06-12,Completed
VAC-4420,FARM-2070,PCV2 Vaccine,2026-05-14,2026-11-10,Scheduled
VAC-4421,FARM-2020,CSF Vaccine,2026-01-08,2027-01-08,Scheduled
VAC-4422,FARM-2030,Marek's Disease Vaccine,2026-07-05,2027-01-01,Pending
VAC-4423,FARM-2014,Mycoplasma Vaccine,2026-01-16,2026-07-15,Completed
VAC-4424,FARM-2064,PCV2 Vaccine,2026-02-01,2026-05-02,Scheduled
VAC-4425,FARM-2015,Avian Influenza Vaccine,2026-03-18,2027-03-18,Scheduled
VAC-4426,FARM-2058,Marek's Disease Vaccine,2026-03-02,2027-03-02,Pending
VAC-4427,FARM-2072,Fowl Cholera Vaccine,2026-08-17,2027-08-17,Scheduled
VAC-4428,FARM-2076,PRRS Vaccine,2026-03-31,2026-09-27,Completed
VAC-4429,FARM-2091,Erysipelas Vaccine,2026-06-22,2026-09-20,Scheduled
VAC-4430,FARM-2066,Mycoplasma Vaccine,2026-03-05,2026-06-03,Completed
VAC-4431,FARM-2074,PRRS Vaccine,2026-07-30,2027-01-26,Completed
VAC-4432,FARM-2018,Fowl Cholera Vaccine,2026-04-19,2026-10-16,Completed
VAC-4433,FARM-2007,Avian Influenza Vaccine,2026-08-16,2026-11-14,Completed
VAC-4434,FARM-2057,Newcastle Disease Vaccine,2026-04-05,2027-04-05,Completed
VAC-4435,FARM-2075,IB Vaccine,2026-05-13,2026-11-09,Pending
VAC-4436,FARM-2074,FMD Vaccine,2026-06-12,2026-12-09,Pending
VAC-4437,FARM-2088,FMD Vaccine,2026-07-07,2027-01-03,Scheduled
VAC-4438,FARM-2018,IB Vaccine,2026-02-02,2026-08-01,Scheduled
VAC-4439,FARM-2016,Fowl Cholera Vaccine,2026-05-12,2027-05-12,Completed
VAC-4440,FARM-2027,FMD Vaccine,2026-05-02,2026-07-31,Scheduled
VAC-4441,FARM-2071,Marek's Disease Vaccine,2026-08-24,2026-11-22,Scheduled
VAC-4442,FARM-2052,Newcastle Disease Vaccine,2026-01-31,2026-07-30,Scheduled
VAC-4443,FARM-2005,IB Vaccine,2026-02-09,2026-05-10,Completed
VAC-4444,FARM-2047,PCV2 Vaccine,2026-03-17,2026-09-13,Completed
VAC-4445,FARM-2018,IBD Vaccine,2026-07-20,2027-07-20,Completed
VAC-4446,FARM-2039,Marek's Disease Vaccine,2026-02-25,2026-05-26,Scheduled
VAC-4447,FARM-2062,Newcastle Disease Vaccine,2026-02-01,2027-02-01,Completed
VAC-4448,FARM-2005,Avian Influenza Vaccine,2026-05-04,2027-05-04,Completed
VAC-4449,FARM-2057,Marek's Disease Vaccine,2026-07-20,2027-01-16,Completed
VAC-4450,FARM-2092,Erysipelas Vaccine,2026-02-03,2026-05-04,Completed
VAC-4451,FARM-2058,Avian Influenza Vaccine,2026-06-20,2026-12-17,Completed
VAC-4452,FARM-2093,PCV2 Vaccine,2026-01-23,2027-01-23,Scheduled
VAC-4453,FARM-2052,Avian Influenza Vaccine,2026-03-01,2026-08-28,Completed
VAC-4454,FARM-2005,Fowl Cholera Vaccine,2026-08-16,2027-02-12,Scheduled
VAC-4455,FARM-2082,Newcastle Disease Vaccine,2026-08-10,2026-11-08,Scheduled
VAC-4456,FARM-2073,Fowl Cholera Vaccine,2026-07-23,2027-07-23,Completed
VAC-4457,FARM-2082,Newcastle Disease Vaccine,2026-06-14,2027-06-14,Completed
VAC-4458,FARM-2079,IB Vaccine,2026-05-28,2026-08-26,Pending
VAC-4459,FARM-2066,PRRS Vaccine,2026-07-12,2027-01-08,Completed
VAC-4460,FARM-2002,Newcastle Disease Vaccine,2026-06-18,2027-06-18,Completed
VAC-4461,FARM-2002,Marek's Disease Vaccine,2026-07-21,2026-10-19,Completed
VAC-4462,FARM-2090,IB Vaccine,2026-04-24,2026-07-23,Scheduled
VAC-4463,FARM-2077,Marek's Disease Vaccine,2026-04-13,2027-04-13,Completed
VAC-4464,FARM-2002,Marek's Disease Vaccine,2026-04-22,2026-07-21,Completed
VAC-4465,FARM-2067,Marek's Disease Vaccine,2026-04-08,2026-10-05,Completed
VAC-4466,FARM-2012,Erysipelas Vaccine,2026-02-13,2026-08-12,Completed
VAC-4467,FARM-2032,CSF Vaccine,2026-02-09,2026-08-08,Pending
VAC-4468,FARM-2086,IBD Vaccine,2026-01-16,2027-01-16,Pending
VAC-4469,FARM-2023,Newcastle Disease Vaccine,2026-07-02,2026-09-30,Completed
VAC-4470,FARM-2012,PCV2 Vaccine,2026-02-06,2026-08-05,Pending
VAC-4471,FARM-2033,Avian Influenza Vaccine,2026-07-31,2026-10-29,Completed
VAC-4472,FARM-2030,IB Vaccine,2026-05-31,2026-08-29,Completed
VAC-4473,FARM-2096,IB Vaccine,2026-04-09,2026-07-08,Completed
VAC-4474,FARM-2040,FMD Vaccine,2026-05-22,2026-11-18,Completed
VAC-4475,FARM-2003,Avian Influenza Vaccine,2026-06-12,2026-09-10,Pending
VAC-4476,FARM-2002,Marek's Disease Vaccine,2026-05-22,2027-05-22,Scheduled
VAC-4477,FARM-2031,Erysipelas Vaccine,2026-06-16,2026-09-14,Completed
VAC-4478,FARM-2052,Avian Influenza Vaccine,2026-01-22,2027-01-22,Completed
VAC-4479,FARM-2018,Marek's Disease Vaccine,2026-05-19,2026-08-17,Scheduled
VAC-4480,FARM-2068,Avian Influenza Vaccine,2026-08-22,2027-08-22,Completed
VAC-4481,FARM-2000,Avian Influenza Vaccine,2026-08-01,2027-08-01,Completed
VAC-4482,FARM-2021,Newcastle Disease Vaccine,2026-01-16,2026-07-15,Completed
VAC-4483,FARM-2032,Mycoplasma Vaccine,2026-04-08,2026-10-05,Scheduled
VAC-4484,FARM-2027,Erysipelas Vaccine,2026-08-04,2027-08-04,Completed
VAC-4485,FARM-2020,Mycoplasma Vaccine,2026-05-17,2027-05-17,Completed
VAC-4486,FARM-2011,FMD Vaccine,2026-06-28,2026-09-26,Scheduled
VAC-4487,FARM-2092,Erysipelas Vaccine,2026-03-13,2026-09-09,Completed
VAC-4488,FARM-2064,PCV2 Vaccine,2026-08-15,2027-08-15,Pending
VAC-4489,FARM-2081,Marek's Disease Vaccine,2026-07-12,2027-07-12,Completed
VAC-4490,FARM-2031,Mycoplasma Vaccine,2026-03-24,2026-09-20,Completed
VAC-4491,FARM-2076,PCV2 Vaccine,2026-01-05,2027-01-05,Completed
VAC-4492,FARM-2000,IB Vaccine,2026-05-02,2026-07-31,Pending
VAC-4493,FARM-2086,IBD Vaccine,2026-04-16,2027-04-16,Pending
VAC-4494,FARM-2090,Avian Influenza Vaccine,2026-07-15,2027-01-11,Completed
VAC-4495,FARM-2083,Fowl Cholera Vaccine,2026-01-20,2027-01-20,Completed
VAC-4496,FARM-2085,FMD Vaccine,2026-06-22,2026-09-20,Completed
VAC-4497,FARM-2048,IB Vaccine,2026-04-02,2026-09-29,Completed
VAC-4498,FARM-2098,Fowl Cholera Vaccine,2026-01-03,2026-04-03,Completed
VAC-4499,FARM-2024,Avian Influenza Vaccine,2026-01-03,2026-04-03,Scheduled
